id,seenAt,src,mac,rssi,adv_hex,manufacturer_hex,lacisId,productType,productCode
170607,2025-12-15T03:02:40.528140Z,ble,2C82964DF50A,-58,,"{6: b'\x01\x0f ""0\x14\xc8\xe7\xa5\x8f\xf99\xa8\xd8T\x0c\xc8_\xb3\x13\xb2\xb3\x18_m`\xf7'}",30032C82964DF50A0096,003,0096
170608,2025-12-15T03:02:40.599880Z,ble,714997AA2EE9,-53,,"{76: b'\t\x08\x13\x0c\xc0\xa8ao\x1bX\x16\x08\x00ZUI\xff\x9eu@'}",3003714997AA2EE90096,003,0096
170609,2025-12-15T03:02:40.637292Z,ble,403647C681C8,-57,,"{76: b'\x10\x06@\x1d\x85\x1f<X'}",3003403647C681C80096,003,0096
170610,2025-12-15T03:02:40.642381Z,ble,5859DD9681E3,-57,,"{76: b'\x10\x06@\x1d\x85\x1f<X'}",30035859DD9681E30096,003,0096
170611,2025-12-15T03:02:40.715888Z,ble,5FCF0693D4ED,-85,,"{76: b'\x10\x07?\x1f\xb0\x16\x93y\x18'}",30035FCF0693D4ED0096,003,0096
170612,2025-12-15T03:02:40.986299Z,ble,5DCDD744C63F,-85,,"{76: b'\x10\x070\x1f\x02\x96\xfa:8'}",30035DCDD744C63F0096,003,0096
170613,2025-12-15T03:02:41.047907Z,ble,4DA937766688,-49,,"{76: b'\x10\x075\x1f\xc4*\xdc\x9dX'}",30034DA9377666880096,003,0096
170614,2025-12-15T03:02:41.048370Z,ble,7271434738F8,-68,,,30037271434738F80096,003,0096
170615,2025-12-15T03:02:41.120953Z,ble,C7D0200AD652,-68,,"{76: b'\x12\x02\x00\x02'}",3003C7D0200AD6520096,003,0096
170616,2025-12-15T03:02:41.322434Z,ble,E2AD03F062E0,-50,,"{76: b'\x12\x02\x00\x02'}",3003E2AD03F062E00096,003,0096
170617,2025-12-15T03:02:41.397235Z,ble,EE1F7E72061E,-63,,"{76: b'\x12\x02\x00\x03'}",3003EE1F7E72061E0096,003,0096
170618,2025-12-15T03:02:41.797295Z,ble,405B5E4EF116,-59,,"{76: b'\x10\x07\'\x1f""\xf2\x03\'8'}",3003405B5E4EF1160096,003,0096
170619,2025-12-15T03:02:41.957640Z,ble,30A9984ED1EC,-85,"{'0000fdee-0000-1000-8000-00805f9b34fb': b'\x00\x10\x00\x01\xdch\x00\x00\x00\x00\x02ZAAF\x03\x05'}",,300330A9984ED1EC0096,003,0096
170620,2025-12-15T03:02:41.958123Z,ble,EC2385626FEA,-70,,"{76: b'\x12\x02\x00\x01'}",3003EC2385626FEA0096,003,0096
170621,2025-12-15T03:02:42.079960Z,ble,5D2F38EC3326,-78,,"{76: b'\x10\x076\x1f\xaf\xd0\x80dx'}",30035D2F38EC33260096,003,0096
